0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
-1.1559255,-1.0946383,-0.11963265,-0.2920359,-0.64949656,1.3176459,-2.7293034,-0.74611664,-0.6516141,-0.08959639,0.57583845,-1.1790951,-0.6343421,-1.338641,-0.57766163,3.9666557,0.53284955,-0.77921003,-0.32021907,0.46928772,0.6693649,2.5422225,0.15513031,2.074421,1.3493836,0.7298668,-0.6570931,-0.3961564,-0.5113866,-2.5734138,-0.123532936,-0.16989875,2.6125906,-0.91653484,0.37837434,-0.43415862,0.3852871,-0.26575676,3.0432231,0.8082153,3.1917596,-0.49240392,5.0988836,0.012717366,0.27784133
-0.03402777,-0.10781831,-0.004784167,0.13456054,-1.1187568,0.048282124,0.027637932,-0.02374692,0.008766365,0.32795298,-0.12142946,0.10229508,0.014987159,-0.11259879,0.28504065,-0.37217593,-0.011220202,0.0740482,0.14163579,-0.24784727,0.17986545,-0.17319046,-0.009096288,-0.03296199,0.044854008,0.2532966,0.8399819,-0.33597216,-0.044743232,0.086823836,0.007996512,-0.053924102,0.5595467,-0.07797217,-0.08190907,-0.21434397,0.01338966,0.10246044,-1.0102158,0.23814823,0.44983643,-0.03893936,2.9318225,-0.12794665,-0.06576591
-0.48043403,1.7019235,0.015464985,0.20978601,0.4554523,1.3253576,0.3901064,3.002644,-0.18515454,0.13417417,-0.5657775,-0.041764535,-0.60100514,-0.16772282,0.1427876,-0.8559243,-0.6197617,0.41284463,-0.81127125,0.5159618,0.015549936,1.1114616,0.39036536,0.7319885,0.16025546,-2.147649,-0.32711732,-0.23806463,-0.022506667,1.1869304,0.17792775,-0.05699486,0.28308517,0.418478,0.6523447,-0.5229479,-0.52204245,1.5423957,0.3659462,2.6565814,0.24828443,1.8763788,1.9173152,0.16464376,-0.6737596
-0.22823018,-0.45056117,-1.9045681,-0.4826611,2.1543639,0.80394626,1.1675301,-1.3847688,-5.374409,0.1260581,0.62011886,0.06210173,1.2623333,-0.31890267,0.3136846,0.09025657,0.68417126,1.3810105,0.30907336,-0.8724926,-0.32623407,-0.26325807,-1.0122831,1.3055629,-1.2070763,-0.27647537,0.51906765,-0.811037,-0.6161498,-1.1758947,0.29584253,0.19650827,0.54205227,-0.4650735,0.73451513,0.44591066,-0.26458952,0.98589295,-0.21581069,-0.59727776,-0.22458225,0.18406424,-0.0358561,-0.11518029,-2.626644
-0.1953021,0.7868407,0.013307387,-0.78933406,-1.1538024,0.38790008,-0.87511164,0.14260085,0.21941127,-0.17083766,-1.548926,-0.069378324,-0.056957535,0.80078304,-0.5211025,-0.6052979,0.49229494,-0.696253,-1.1353909,0.1811671,-0.7939005,-0.5771858,-0.04325604,0.21171255,-1.4770565,-0.10802773,0.3716605,-0.50801367,-0.8578889,-0.38174143,-0.95984143,-0.4975988,0.6623117,0.13088313,-0.8516378,-0.7228802,-0.028447483,0.7020282,-0.025038585,0.108822376,1.1510277,-0.5398428,1.8461807,0.18231423,0.5473559
-0.45843995,-0.75947154,0.27791345,0.21619892,-0.020526549,0.3487745,-0.7628878,-0.4763504,0.06418124,0.23161006,-0.2490951,1.291827,0.05095571,0.30166566,-0.4516158,-0.59810334,0.3368574,-0.818301,-0.5593829,-0.398326,-0.32435513,-0.48979038,1.2520317,0.47284585,-0.3930777,-0.4629558,-0.026502436,-2.6701677,-0.43115893,-0.5701969,-0.8986686,-0.6907344,0.39785433,-0.8234623,0.100867465,-0.65165097,0.55568707,-0.5682872,0.39505643,1.0442152,0.03096265,-0.10505786,0.5624503,-0.15982218,0.21473394
-0.02924187,0.062843524,-1.2775987,0.38693202,-0.7048206,-1.6691045,-0.84326285,1.5786518,1.986568,0.0534752,0.97192776,-0.03244911,1.2262934,0.6097559,-0.052800007,-0.7517767,-1.9265546,-0.82807034,-2.5486095,-2.2308135,0.7275215,-0.7434701,2.169749,0.2481674,0.89590657,1.2277465,-1.2851619,0.74271786,0.53006214,-0.8350923,-2.6232297,0.45220876,0.93886113,-0.25708264,0.5744073,-0.3307639,1.1403801,0.7653541,-0.5987733,-0.19386159,1.1452129,-0.3304377,-0.5496683,-0.2698806,0.2126606
1.4217304,-0.7579078,-1.7178562,-0.8866297,-2.1135623,0.94880337,-1.088934,-0.8433034,-1.606144,0.30056322,-0.17321908,0.8731714,-0.8157707,1.0653709,-0.568999,0.6851722,0.18128394,-0.8990929,-1.568529,0.2610433,-1.4379185,-0.7083255,-0.6835623,-1.6698822,0.021798154,-3.059878,-1.004695,0.007708699,0.31375608,-0.078605786,0.66249114,-1.2853415,0.22364245,-0.5845218,-0.8872842,1.6309052,-0.053711917,0.97265,0.62745553,0.15280156,0.26764116,0.24265316,3.430342,0.31088802,1.3527061
0.16516504,1.2954949,-0.51234186,-0.15397824,0.99165267,1.0362787,1.7398809,2.4371827,-1.7920337,-0.14787562,0.16644917,-0.2917352,-0.7550472,-0.03935063,-0.19225264,-0.3148413,-0.97384226,1.7697188,0.7258456,-0.090554684,0.18272585,0.17996322,0.8010386,0.09096903,0.35192513,0.24942411,-1.0833523,0.5461879,0.49293697,-0.15661094,0.102379054,0.046533152,0.6436235,-0.3367726,1.0810747,0.3363542,0.572951,-0.18413505,-0.27666557,-0.65586466,-0.42926377,2.3763993,1.696894,0.280485,0.6687289
0.0026556633,-0.41635355,-0.09940859,-0.063621,0.8124228,0.054406006,-0.6456159,-0.04420207,0.7616206,0.30282998,0.16228016,-0.2086168,0.19897674,0.06905434,0.1081568,-0.03878296,0.4499878,0.55768156,-0.26534438,0.5051246,-0.39967528,-2.257578,-0.35539284,-0.16958107,-0.49818116,1.0581597,-0.70071757,0.5435056,-0.58937055,0.77820176,-0.57996655,0.11392243,0.549911,-0.72375995,0.029193165,-0.05414807,-0.27674377,-0.4374239,0.30499145,-1.0788659,0.75560766,-0.28688842,-0.68404514,0.026201898,-0.001311158
0.45095098,-0.047821876,-0.43139735,-1.101371,-2.968118,0.4703985,0.31973028,1.4677675,0.526021,1.1850224,-0.55804175,-0.13735472,1.2903025,0.21792904,0.3005106,-1.368832,-0.30369446,-0.43994045,0.102404684,-0.24252056,-0.751402,-1.6154616,0.4658153,-0.15415671,0.18348454,0.58742464,-0.37793693,0.3004124,-1.7042342,1.5061303,-0.6816627,-0.23608841,0.39657855,0.42782524,0.33091193,-0.43756816,0.042884238,0.41809618,0.73905,-0.20997895,-0.07699206,-0.05916442,0.7764241,0.15894832,0.53523964
-0.04233168,0.15729211,-0.73764396,-0.2046172,-0.0704647,1.5448676,0.4422096,0.7400657,-0.4479002,-0.55940014,-1.1906706,0.34069684,-0.88528275,0.32020557,-0.2601684,-0.5282174,-0.1957949,0.15984137,-0.15504804,-0.811942,-0.6936089,1.0323178,-0.31218132,0.4114386,0.53602517,0.13332893,0.31408125,0.66025907,0.035820175,0.4019811,1.4920182,-0.45851713,-0.13211061,0.51415974,0.5601107,-0.10642607,-0.16739956,0.24375986,0.40750432,-0.5045912,-0.41191614,1.1082091,0.11859364,-0.035511926,0.11724647
1.3496548,0.19824871,1.9849705,-0.0413767,0.3490855,-0.09712397,-4.680153,0.46697795,1.3694273,-0.1685612,0.08411687,-1.4732741,1.0307968,-1.480586,0.71015984,-0.18997177,0.55235034,-0.8221544,0.07603908,-0.41950923,-0.4557292,-0.8609308,3.8960636,0.4828276,-0.13277091,1.4904386,-0.39403564,1.5719968,2.4873366,-0.901817,0.03233278,-1.4627416,-2.4336011,-1.6184192,-0.10186459,-1.1529782,0.8550811,-0.5883258,0.24578705,-0.6445305,1.6852005,0.1972093,-0.96113896,-0.118739344,0.20887718
-0.32086664,-0.18937695,0.14472887,-0.11351778,-0.119607426,0.45680532,-0.22535628,-1.1454256,-0.16014047,-0.53590333,0.45842785,0.9508791,-0.32655212,-0.70520467,0.0900073,2.1916935,-0.14502934,-0.20762472,-0.056461316,-0.15974948,-0.06406498,1.8989744,-0.94722664,0.2825734,0.16499494,1.550133,-0.3316174,0.028216314,-0.14268008,-0.27352145,-0.9021623,-0.6146861,1.0421079,0.84481114,0.14749172,0.2037954,0.32941535,-0.40218088,1.3108804,-1.2368791,1.086814,-0.040673845,2.7302275,1.2813876,-0.0023537888
-0.4553704,-0.013850814,1.6302186,-0.4050101,-0.32344317,0.6080582,0.32797953,-0.076562665,-2.5170934,-0.16678767,-1.8978629,0.32868862,-0.070301235,0.4592369,0.17896228,-1.05847,-1.2624266,0.2980693,-0.028298508,0.2592068,-1.1241994,0.9614017,-2.2488172,1.2182772,1.353245,-2.1645856,-0.07095485,1.0687137,0.56038165,0.14250296,1.4506612,1.4727373,-0.27589095,-0.03513373,0.02182173,-1.4316049,0.29805717,-0.527572,0.7657443,-0.79789275,1.8980085,-0.40168193,0.3767851,-0.038454138,0.68679464
1.3052455,-2.344884,-0.9789088,-0.2762503,0.07644485,0.06375334,-4.4213257,-1.2867197,-0.48042196,-0.13017428,-0.049712803,-0.15753287,-0.3585099,-1.6625422,-0.8824641,-0.9185607,0.9525764,-1.7280773,-0.8090562,0.70817536,-0.07366406,0.91258353,0.18883331,0.35466817,0.222423,1.122913,-0.35337165,-0.5652058,0.25052696,-2.0449579,-0.9080412,-0.27069545,1.2737085,-0.784027,-0.18399459,0.2581542,0.4634039,-0.0857445,-0.56105185,-1.1534073,-1.026389,-1.1213069,0.28113234,0.23118581,-0.05578119
0.8308188,-0.14358842,0.8193467,0.105173714,-1.1605519,-0.5735344,-0.5761331,-0.7252351,0.78127515,-0.13584068,0.69571406,-1.3108698,-0.86532605,-0.1061861,0.36880594,-0.5806067,-0.6033955,-0.7596747,-1.4934918,-0.42711282,-0.32183743,-0.036560018,0.22126147,1.2604518,-1.467746,0.32993534,-0.11792231,1.6047007,0.84096855,0.6541732,0.45504236,-0.010044049,-0.5861743,0.09484802,-1.1001884,0.4974081,-0.619396,0.05641097,0.23669575,2.1562722,-0.48184264,0.5508434,-0.973626,0.06667265,0.5678101
0.15688826,-0.13282792,0.10539168,-0.17257546,0.054398466,0.07659425,0.5500825,0.11061803,0.2765378,-2.5276942,-0.023085864,1.1294011,0.56415796,-0.5020324,0.42055425,0.40040112,0.32724816,0.27338767,0.48423287,0.16632684,0.09649038,-0.07471038,0.40911674,-0.09997087,0.3187091,1.5938138,0.014694525,-1.3106991,-0.2854866,-1.0465934,0.36420962,-0.49667534,0.2273652,0.51831865,0.05334077,-0.51495785,0.4471778,-0.3324284,-0.35264483,1.3728093,-1.353136,0.30560645,-1.0339259,0.2741137,0.013503358
0.010945753,-0.11358951,-1.0407323,-0.029376106,1.7237446,-1.4312278,-0.439752,-0.1657589,-1.200695,-0.18052877,-0.74964046,0.2947755,-0.36772078,0.38493317,-0.34695244,0.011000528,-0.58204365,0.010819062,0.16722146,-0.8470864,0.4144967,-0.05070922,1.9673713,-0.48122093,0.7775092,-1.7214744,-0.18366773,-1.2642928,0.38159734,-0.5373595,0.4192189,-0.576717,0.19201013,0.094245985,-0.76584905,0.081991225,0.38647354,-0.21047091,-0.29929373,-0.5179481,0.048730243,0.824942,3.2438543,0.11643779,0.7317865
0.3121018,0.097265236,-0.4477121,-0.22526218,-0.2680227,0.056798164,-0.5107988,0.18606332,-0.5408884,0.4179706,-0.49356312,-0.24505742,0.67065006,0.07326445,-0.19238198,3.6289177,0.31519943,-0.63000345,-0.3272844,0.23145276,0.41417655,1.7084507,-0.9111993,0.019120684,-0.07518808,2.2253697,-0.5204178,-0.8822525,0.31389037,-0.32121143,-0.31789026,0.47390324,-0.01920542,0.40621936,-0.25670433,0.28642735,0.0072936993,0.11762451,3.267456,-0.23634633,3.1439571,-0.24053976,1.0798869,-0.43584463,-0.16514271
-0.11435085,1.0923849,-0.6088746,0.12324481,1.0542178,0.80945677,-0.12549332,0.5678597,0.9884072,-0.083516076,-1.028824,-0.10319324,0.13488999,-0.04462075,-0.32305828,-0.08435762,0.25039303,-0.6408161,0.8980187,-1.1539309,-0.24234669,0.5459826,-0.39868894,3.6043336,-2.8297315,0.41439483,-0.3662588,1.2033784,0.19779165,0.25559637,-0.32973385,-0.12716937,0.5515651,-0.89870685,-1.5599374,-2.101543,0.24301378,-0.001017948,-0.07576137,1.4743313,-1.2996856,-0.7237626,1.6377052,-0.04900087,0.088450566
-0.22704424,-0.50211346,1.3311236,-1.3278663,-1.1880871,0.24007693,-2.4027905,0.37664682,-0.0061508953,-0.10649476,-0.4052275,1.2059304,-0.052154984,-0.55556476,0.80563724,5.4383707,0.0860702,0.14416248,0.4739583,-0.78281343,-0.33764175,4.208532,-0.3188963,-0.7691671,0.30846018,4.3387284,-0.91829586,0.89700377,0.37943277,0.051164392,0.5616359,0.9131452,1.3311299,-0.3773003,-0.6587615,0.099233456,-0.5142763,-0.40284392,4.1531916,0.019717336,3.3873508,-0.3162601,4.384114,-0.15819839,-0.107128024
-0.8282533,-0.5401099,1.4176527,0.2562245,0.6793894,0.8576873,1.1246829,0.21588853,-0.5615144,0.015657399,-1.8315351,-0.90987504,-0.8253632,0.405226,0.23383284,0.78576136,-2.4722323,-2.8565505,1.5016577,0.107393675,-0.49877617,2.041228,1.2937244,-2.8090997,-0.21929121,-2.1698265,-0.20220254,-0.6559702,-0.15081757,-0.77786356,-0.72872055,-0.894109,-1.03386,-0.092158906,-0.3798361,-2.699245,0.4171709,1.8503245,0.8612734,0.60308254,-0.44465148,-0.6634113,0.72683907,0.43788493,0.7165868
-1.031335,1.4943997,0.49452102,-0.4561527,1.521741,-0.42962912,-2.052984,-0.07966278,-0.9248676,0.21976319,0.0076542012,-0.20262681,-0.3041484,-1.1949228,1.3184844,2.4640255,0.12045475,0.033453085,-0.13377222,-0.24040717,-0.5752123,2.6027408,0.8998057,0.56523937,0.036213778,1.4018916,-1.6998767,0.40890694,0.34085968,-1.807568,-0.12984,1.607458,-0.01887533,0.08126845,0.15313524,0.21891288,-0.50968325,1.0167371,2.589284,0.63042754,2.733482,-2.4846404,2.2885752,-0.80324095,0.06613282
-0.40548185,-1.8606004,1.2682594,-0.23839627,-0.5286971,-0.36785218,-1.032773,-0.3022548,0.618893,-0.15838,0.82534105,2.193379,0.2538994,0.48168442,1.0562577,0.32715604,-0.19450733,0.060851645,1.5776652,0.6584168,-0.673587,-0.054558553,0.37786978,-1.8505963,-0.20080839,-1.1405163,0.3609042,-1.1727897,-0.6206052,-0.51897,-0.21542963,-0.32879958,0.3523001,0.07679821,0.26945388,0.6821541,0.44203794,-0.4475629,-0.30888763,-0.39367396,0.11473401,-2.1270633,0.30930847,-0.050634224,0.30067584
-0.14470233,-0.1694703,-0.6143135,-0.29645884,-1.2945386,-0.49925566,-0.7256657,-0.9366184,-0.113630466,-0.22735882,-0.36127418,-0.08110943,0.028951462,-0.24265857,-0.5469916,-0.39075086,0.09610189,-0.6258189,-0.65913963,-1.0786777,0.46831852,1.0417745,-1.2705157,0.85284644,0.5656531,0.40998957,0.33474654,-0.79506195,0.35286835,0.24902566,1.220565,0.29474273,0.12731239,-0.03601271,-0.23566222,0.41093457,-0.40984467,0.7536148,-0.7402295,0.249751,-1.157012,-0.781109,1.0715349,0.07586922,-0.7489257
